Modelo,Configuracion,Accuracy,stdAccuracy,errorMetrico
GradientBoostingClassifier,[6 1 3 3 5],0.914519814264305,0.00844746319488,0.185316432063264
VotingClassifier,[6 1 3 3 5],0.904359015305997,0.010358011118739,0.199939676436322
GradientBoostingClassifier,[6 1 1 3 3],0.901487268173415,0.013594463312833,0.217584879310905
GradientBoostingClassifier,[6 3 2 3 5],0.900295683383919,0.012720258980889,0.285473577181311
GradientBoostingClassifier,[6 1 1 3 4],0.899511002444988,0.013050372758027,0.213564944252055
GradientBoostingClassifier,[6 1 2 3 4],0.899266503667482,0.012695114900486,0.28209082466876
GradientBoostingClassifier,[6 5 2 3 4],0.897564676976442,0.009551164949843,0.253806035039968
GradientBoostingClassifier,[6 1 3 3 3],0.896850140139543,0.009726451675939,0.205363000040252
GradientBoostingClassifier,[6 1 3 3 1],0.895867374321665,0.009046979546093,0.221426195520325
GradientBoostingClassifier,[6 1 6 3 4],0.894376528117359,0.015300232613361,0.351797081550005
GradientBoostingClassifier,[6 3 3 3 5],0.892923471599942,0.013625329157976,0.303146283911558
GradientBoostingClassifier,[6 1 3 1 3],0.892444391436579,0.011331378977402,0.252796492885918
GradientBoostingClassifier,[6 4 1 3 2],0.892176039119804,0.015824568337687,0.258867273144686
GradientBoostingClassifier,[6 3 2 3 1],0.89195300852764,0.012587459558742,0.330746344822239
GradientBoostingClassifier,[6 4 2 3 5],0.890930770342535,0.015341798785034,0.281643105413203
VotingClassifier,[6 1 1 3 3],0.890490786570457,0.0178966102809,0.264053067757079
GradientBoostingClassifier,[6 5 2 3 1],0.890236591897403,0.016098440051106,0.322348300357664
GradientBoostingClassifier,[6 3 3 3 3],0.890229554056278,0.010172389397295,0.309097090932607
GradientBoostingClassifier,[6 4 3 3 2],0.890211923176379,0.012968194849525,0.267752980679212
GradientBoostingClassifier,[6 5 3 4 5],0.890197282844342,0.010327170930871,0.397993041852369
VotingClassifier,[6 1 2 3 1],0.889516369491323,0.012901629728626,0.24222624967938
GradientBoostingClassifier,[6 3 2 3 6],0.889505512588448,0.013687783706615,0.32000396320861
GradientBoostingClassifier,[6 3 2 3 4],0.889479653964597,0.009786040865408,0.278274153401339
GradientBoostingClassifier,[6 4 3 3 1],0.888997555012225,0.015852875381367,0.252018123359608
GradientBoostingClassifier,[3 1 3 6 5],0.888997125519003,0.015705747053956,0.251328579628975
GradientBoostingClassifier,[6 6 3 3 2],0.888536989586027,0.007835521512345,0.343025778267788
GradientBoostingClassifier,[6 5 4 3 2],0.888229272052801,0.016147289780649,0.301604224917133
GradientBoostingClassifier,[6 5 1 3 2],0.887515048030858,0.018435268582643,0.315820904203535
GradientBoostingClassifier,[6 4 2 3 6],0.887056583370554,0.016659049492621,0.29253021565613
GradientBoostingClassifier,[6 4 2 3 2],0.886331954206728,0.019546590037524,0.27908797139132
VotingClassifier,[6 1 2 3 5],0.886268825393705,0.011046320005168,0.262776388502416
GradientBoostingClassifier,[6 6 3 3 4],0.886091586544113,0.019324425052569,0.337707798843801
GradientBoostingClassifier,[6 5 2 3 2],0.886048682372212,0.019826167816506,0.289836969217669
GradientBoostingClassifier,[6 6 3 3 5],0.88604446692682,0.015896197398733,0.338879168726782
VotingClassifier,[6 1 3 3 1],0.885846502474805,0.012231499514438,0.246638881097478
GradientBoostingClassifier,[6 4 1 3 5],0.885501068717293,0.016925674717229,0.265605478285451
GradientBoostingClassifier,[6 4 2 3 4],0.885120125061708,0.018228100573546,0.288986919452909
GradientBoostingClassifier,[6 6 3 3 1],0.885110620788359,0.014568390149105,0.331461712500963
GradientBoostingClassifier,[6 5 3 3 3],0.884816567904803,0.012312283356897,0.327649763963236
GradientBoostingClassifier,[6 4 2 3 1],0.884596577017115,0.010009530313183,0.272946586021813
GradientBoostingClassifier,[6 6 2 3 5],0.884580502962856,0.016496861727762,0.318618551253923
GradientBoostingClassifier,[6 4 3 3 3],0.884396083593879,0.014625925233063,0.287471551339361
GradientBoostingClassifier,[6 4 2 3 3],0.884391382025906,0.013751898269341,0.28356663611794
GradientBoostingClassifier,[6 6 1 3 4],0.884352078239609,0.015073899894179,0.314144566614464
GradientBoostingClassifier,[6 6 2 3 2],0.884179811467124,0.016981879546944,0.28815525132568
GradientBoostingClassifier,[6 6 2 3 4],0.884145137403324,0.021373814244754,0.273988378152843
VotingClassifier,[4 1 3 6 5],0.884011620765054,0.018017335293237,0.286817342131224
GradientBoostingClassifier,[6 3 2 1 2],0.883885741546902,0.016515321552577,0.325060712464103
GradientBoostingClassifier,[6 4 3 3 5],0.883561569590981,0.023643642927286,0.330102886430406
GradientBoostingClassifier,[6 3 2 3 3],0.883445779167352,0.013502868021899,0.361587535412727
GradientBoostingClassifier,[6 4 3 3 4],0.883419332847505,0.011265842986627,0.277129794438558
GradientBoostingClassifier,[6 6 2 1 5],0.883315954743756,0.019475758119807,0.280620975281261
GradientBoostingClassifier,[6 4 6 3 4],0.882690589811702,0.017961997528071,0.306604969965256
GradientBoostingClassifier,[6 6 1 3 3],0.882664440336335,0.01474247630772,0.339284477848934
GradientBoostingClassifier,[6 5 4 3 6],0.882581779640603,0.009466000960079,0.317966261347111
RandomForestClassifier,[6 1 3 3 1],0.882418152543384,0.009746604033933,0.286972054048914
GradientBoostingClassifier,[6 5 2 3 6],0.882369200751554,0.01985865089572,0.310979229800902
GradientBoostingClassifier,[6 3 3 3 1],0.882177231796768,0.010898740580348,0.29260460572603
GradientBoostingClassifier,[6 5 3 3 4],0.882088572529749,0.012122162680399,0.364432130289246
GradientBoostingClassifier,[6 5 1 3 5],0.882063975628332,0.019109771518859,0.358054314223796
GradientBoostingClassifier,[6 6 3 3 3],0.881993582359717,0.011497702035944,0.322183767422302
GradientBoostingClassifier,[6 4 4 3 6],0.88195655751193,0.017080394047869,0.308209224943242
VotingClassifier,[6 1 2 3 6],0.881938100065597,0.015867498618127,0.302435648574657
GradientBoostingClassifier,[6 6 1 3 5],0.881804166769034,0.020956216588411,0.327064599743734
GradientBoostingClassifier,[6 6 2 3 6],0.881755565481088,0.016551084223451,0.272846386639703
GradientBoostingClassifier,[6 4 1 3 4],0.881662591687041,0.019566013715152,0.277921137934484
GradientBoostingClassifier,[6 5 2 3 3],0.881392421833598,0.015925249376015,0.272843081845828
AdaBoostClassifier,[6 1 1 3 1],0.88120162204067,0.012816463044693,0.258637121974857
AdaBoostClassifier,[6 1 2 3 4],0.881173594132029,0.013038916015622,0.411140249289037
GradientBoostingClassifier,[6 5 2 3 5],0.88113768849063,0.015111527621488,0.2702190884469
GradientBoostingClassifier,[6 5 3 3 1],0.881079404466501,0.010704887626538,0.352955533298168
GradientBoostingClassifier,[6 6 3 3 6],0.881029173229272,0.014936135804774,0.316426009968662
GradientBoostingClassifier,[6 5 4 3 5],0.880862480127186,0.015290433971262,0.350586660656156
GradientBoostingClassifier,[6 6 2 3 1],0.880709642793249,0.011649093260945,0.278321461011269
GradientBoostingClassifier,[6 4 1 3 3],0.880684596577017,0.019276678087459,0.279393915880637
GradientBoostingClassifier,[6 1 3 4 2],0.880684596577017,0.017826627025485,0.288373244114303
GradientBoostingClassifier,[6 1 5 3 4],0.880554873105176,0.014957564107271,0.336431784907146
GradientBoostingClassifier,[6 5 3 3 5],0.880398781134075,0.019272222715963,0.349654204473982
GradientBoostingClassifier,[6 6 2 3 3],0.880301605585463,0.014690712002529,0.322007296655591
GradientBoostingClassifier,[6 4 3 3 6],0.880272808481629,0.01244243395016,0.271720112562238
GradientBoostingClassifier,[4 5 4 3 1],0.879754898308873,0.0187554776366,0.347703742102042
GradientBoostingClassifier,[4 1 2 3 3],0.879617402272271,0.011757485508029,0.292174080881853
GradientBoostingClassifier,[6 4 3 1 5],0.879562931479252,0.01730325922366,0.284580989491032
GradientBoostingClassifier,[6 5 3 3 2],0.879413571325336,0.014931298641609,0.299461568035136
GradientBoostingClassifier,[6 5 1 3 1],0.878849839078201,0.020056973747391,0.385392793436888
GradientBoostingClassifier,[6 5 2 1 3],0.878841240203425,0.010818605433848,0.338747438366194
AdaBoostClassifier,[6 1 3 3 1],0.878758423281054,0.013923895703861,0.291157444814264
GradientBoostingClassifier,[6 1 3 4 4],0.878728606356968,0.013533841078825,0.28623360598154
GradientBoostingClassifier,[6 3 2 3 2],0.878601401067256,0.012545213755399,0.37254989488341
GradientBoostingClassifier,[6 4 4 1 4],0.878398242944106,0.014674632716866,0.29627308907906
GradientBoostingClassifier,[6 1 5 3 3],0.878094366508611,0.01274298825656,0.300022333165047
GradientBoostingClassifier,[6 4 4 3 4],0.878084228590235,0.009586646559621,0.299868134452471
GradientBoostingClassifier,[6 3 3 1 2],0.878023137933091,0.015377723446718,0.297132269943782
GradientBoostingClassifier,[6 5 3 4 3],0.877917088211206,0.015462336114901,0.360578896473893
AdaBoostClassifier,[6 1 1 3 2],0.877533544039597,0.019030603284957,0.286921143773533
GradientBoostingClassifier,[6 6 1 3 6],0.87753115868567,0.018979294679117,0.369588720005987
VotingClassifier,[4 1 6 6 1],0.877436704482568,0.015733288368011,0.286914561024139
GradientBoostingClassifier,[6 6 4 3 2],0.87711981945979,0.011483969499315,0.345705202961585
GradientBoostingClassifier,[6 3 3 3 4],0.87711453019582,0.016795559480743,0.290833924764574
GradientBoostingClassifier,[4 4 2 6 1],0.876715550636414,0.01482918922477,0.324914563996646
VotingClassifier,[6 1 3 3 2],0.876557934283499,0.01174193347712,0.284294923936778
GradientBoostingClassifier,[4 4 1 3 2],0.876119652566099,0.015388619272322,0.281158115391068
GradientBoostingClassifier,[6 5 1 3 4],0.875843303933371,0.00900561971553,0.385321375805312
GradientBoostingClassifier,[6 5 4 3 3],0.87570397938045,0.013838865510921,0.351769229381412
VotingClassifier,[6 3 3 3 3],0.875689367404029,0.012525105472242,0.378825590804623
GradientBoostingClassifier,[6 3 3 3 2],0.8754513505254,0.009981599829975,0.358251460879744
GradientBoostingClassifier,[6 4 3 2 1],0.875305623471883,0.012467040375533,0.299962195778109
VotingClassifier,[6 5 3 3 3],0.875239678180855,0.01030112022245,0.430793734927387
GradientBoostingClassifier,[6 5 2 2 1],0.875236109113572,0.019983385203535,0.297663946089181
GradientBoostingClassifier,[6 6 3 1 3],0.874848828194883,0.009497071876773,0.34496700063299
GradientBoostingClassifier,[6 3 3 4 2],0.874463433555091,0.019607404293076,0.29906278290493
VotingClassifier,[6 5 2 3 4],0.874228573493279,0.014049641825824,0.321065990661593
GradientBoostingClassifier,[6 3 3 3 6],0.873996215237782,0.010043073607783,0.361586763290139
GradientBoostingClassifier,[6 4 4 1 5],0.87398664844911,0.014897200009755,0.314889754101595
GradientBoostingClassifier,[6 5 1 4 1],0.873979457308596,0.016214425091039,0.396076703720941
AdaBoostClassifier,[6 1 3 4 5],0.873872933199027,0.032705994721915,0.28969103355216
RandomForestClassifier,[6 4 3 3 2],0.873733515127295,0.015248020608646,0.290140561658048
GradientBoostingClassifier,[6 2 3 3 5],0.873520980873922,0.011530706326155,0.35317451344412
GradientBoostingClassifier,[4 1 4 3 2],0.873501476307416,0.013310674668397,0.352997558715022
GradientBoostingClassifier,[6 3 1 3 2],0.873378853837438,0.01633358200314,0.339644507312559
AdaBoostClassifier,[6 1 3 2 5],0.873145714075129,0.011455061080896,0.265831573861655
AdaBoostClassifier,[6 1 3 3 3],0.873141511121713,0.018847226241533,0.245678855879984
RandomForestClassifier,[6 1 3 3 2],0.873131373367523,0.017090551556401,0.300367124559876
GradientBoostingClassifier,[6 1 1 4 2],0.87310862848183,0.017583199190511,0.247591798396342
VotingClassifier,[6 4 3 3 1],0.873105134474328,0.015596262526961,0.285232895266307
GradientBoostingClassifier,[6 6 3 2 2],0.87303121841134,0.014378353690883,0.40679850089827
GradientBoostingClassifier,[4 5 4 3 6],0.872764007322831,0.013521756196699,0.38839826277688
RandomForestClassifier,[6 1 6 3 1],0.872648339197328,0.013709714358635,0.31593198011503
VotingClassifier,[6 6 2 3 2],0.872542255342157,0.019992856022108,0.338859478434745
VotingClassifier,[6 1 3 3 6],0.872409207466158,0.01511750444819,0.281187388378558
GradientBoostingClassifier,[6 3 1 3 3],0.872404436758304,0.019171962452679,0.327839698980053
GradientBoostingClassifier,[6 3 2 4 5],0.872270198005492,0.012251071225248,0.357403778105939
VotingClassifier,[6 1 3 4 3],0.872127139364303,0.017393815561694,0.359510439287057
GradientBoostingClassifier,[6 3 1 1 4],0.871882640586797,0.017364577901775,0.295050716029365
GradientBoostingClassifier,[6 2 3 3 3],0.871813512306354,0.018822660192972,0.38721152836841
RandomForestClassifier,[6 1 2 1 1],0.871689379265818,0.015591758648045,0.297437278627448
AdaBoostClassifier,[6 1 3 1 3],0.871669747748822,0.017906690044411,0.30956677483998
GradientBoostingClassifier,[5 1 3 3 5],0.871368064157202,0.008768672020543,0.285421879984
GradientBoostingClassifier,[4 4 6 4 2],0.871337083759518,0.010040430204581,0.302321464468728
RandomForestClassifier,[6 3 3 3 5],0.871317507346919,0.009253102519401,0.396355552016553
