Modelo,Configuracion,Accuracy,stdAccuracy,errorMetrico,runtime
LogisticRegression,[4 1 2 3 1],0.7085434722368207,0.02594466327999171,0.6472895612649432,0.22046513557434083
LinearDiscriminantAnalysis,[6 1 3 3 5],0.7718073606368082,0.020370468120466844,0.486200170607991,0.018792605400085448
GaussianNB,[4 1 2 6 1],0.8601330474082273,0.01709675249881093,0.2889830634251303,0.018492984771728515
MLPClassifier,[4 1 4 6 1],0.6827655183545471,0.024668768203761973,0.6145529264753343,1.171068024635315
SVC,[6 1 6 6 1],0.8349312857406384,0.02103820027264417,0.4600226025121158,0.8304075956344604
DecisionTreeClassifier,[6 1 3 6 5],0.8555511878731299,0.02543190876244295,0.29329146686819996,0.01860501766204834
KNeighborsClassifier,[6 1 3 6 1],0.8777798318325483,0.015037209111276964,0.26438258420381894,0.01850271224975586
RandomForestClassifier,[6 1 3 3 5],0.892472299339115,0.012422165924455175,0.23961889171223122,0.03905885219573975
ExtraTreesClassifier,[6 1 3 3 5],0.8919747930128,0.013092211163991369,0.25529697577356364,0.05075275897979736
GradientBoostingClassifier,[6 1 3 3 5],0.9145198142643048,0.008447463194879523,0.18531643206326417,3.0321475505828857
AdaBoostClassifier,[6 1 3 6 5],0.8952042846964599,0.01925311814462263,0.21571593971622324,0.2996018648147583
VotingClassifier,[6 1 3 3 5],0.9011381224971133,0.01134000035870168,0.20203030975333897,2.906192445755005
