Modelo,Configuracion,Accuracy,stdAccuracy,errorMetrico
GradientBoostingClassifier,[6 1 3 3 5],0.914519814264305,0.00844746319488,0.185316432063264
GradientBoostingClassifier,[6 1 3 6 5],0.90931380979289,0.015718401231952,0.192848723257174
VotingClassifier,[6 1 3 3 5],0.904359015305997,0.010358011118739,0.199939676436322
GradientBoostingClassifier,[6 1 2 3 1],0.901734152304848,0.015190745368833,0.239624077020053
GradientBoostingClassifier,[6 3 2 3 5],0.900295683383919,0.012720258980889,0.285473577181311
GradientBoostingClassifier,[6 1 2 3 5],0.900138196201754,0.016620654842482,0.219814416350109
GradientBoostingClassifier,[6 1 2 3 4],0.899266503667482,0.012695114900486,0.28209082466876
GradientBoostingClassifier,[6 1 3 4 5],0.898893201975284,0.016273957457623,0.231032030785005
RandomForestClassifier,[6 1 3 3 5],0.898411664987839,0.007043335469784,0.227889963598276
GradientBoostingClassifier,[6 1 2 6 5],0.897985881394122,0.01908591968016,0.23729461717458
GradientBoostingClassifier,[6 1 2 6 1],0.897886690647482,0.012395693999096,0.250576968445548
GradientBoostingClassifier,[6 5 2 3 4],0.897564676976442,0.009551164949843,0.253806035039968
GradientBoostingClassifier,[6 1 3 3 3],0.896850140139543,0.009726451675939,0.205363000040252
GradientBoostingClassifier,[6 1 3 3 1],0.895867374321665,0.009046979546093,0.221426195520325
GradientBoostingClassifier,[6 1 3 2 5],0.894691423236616,0.01303096762013,0.234800389258566
GradientBoostingClassifier,[4 1 3 6 5],0.894676682308429,0.015285632320102,0.232883907594952
GradientBoostingClassifier,[6 1 4 3 1],0.894621026894865,0.014890356947272,0.256632418762242
GradientBoostingClassifier,[6 1 1 3 1],0.893910787763134,0.019609430212329,0.231235740446532
GradientBoostingClassifier,[6 1 1 6 5],0.893833597008486,0.016349005375194,0.246028394651676
RandomForestClassifier,[6 1 3 6 5],0.89271429624352,0.013660641002698,0.216562675054818
GradientBoostingClassifier,[6 1 6 3 1],0.892691871906494,0.018599100563596,0.248261719700656
GradientBoostingClassifier,[6 4 4 3 2],0.892631467594443,0.01368318321131,0.28880167885956
ExtraTreesClassifier,[6 1 3 3 5],0.892471685133774,0.013310557146167,0.196575073827158
GradientBoostingClassifier,[6 4 1 3 2],0.892176039119804,0.015824568337687,0.258867273144686
GradientBoostingClassifier,[6 3 2 3 1],0.89195300852764,0.012587459558742,0.330746344822239
GradientBoostingClassifier,[6 4 2 3 5],0.890930770342535,0.015341798785034,0.281643105413203
GradientBoostingClassifier,[6 1 2 3 6],0.890491382908939,0.009705306193619,0.301023207433879
VotingClassifier,[6 1 1 3 3],0.890490786570457,0.0178966102809,0.264053067757079
GradientBoostingClassifier,[6 4 6 3 2],0.890455817014975,0.01239169299271,0.268899611677392
GradientBoostingClassifier,[6 1 6 6 1],0.890433614646744,0.014733417066097,0.286064376231223
GradientBoostingClassifier,[6 5 2 3 1],0.890236591897403,0.016098440051106,0.322348300357664
GradientBoostingClassifier,[6 4 3 3 2],0.890211923176379,0.012968194849525,0.267752980679212
VotingClassifier,[6 1 2 3 1],0.889516369491323,0.012901629728626,0.24222624967938
GradientBoostingClassifier,[6 1 3 3 4],0.889486552567237,0.01390852093235,0.267946182893387
GradientBoostingClassifier,[6 3 2 3 4],0.889479653964597,0.009786040865408,0.278274153401339
GradientBoostingClassifier,[6 4 3 3 1],0.888997555012225,0.015852875381367,0.252018123359608
GradientBoostingClassifier,[6 6 3 3 2],0.888536989586027,0.007835521512345,0.343025778267788
GradientBoostingClassifier,[4 1 2 6 5],0.888433050481806,0.014719641158292,0.273324116998383
GradientBoostingClassifier,[6 1 3 3 2],0.888286719542012,0.012880585644448,0.249248105412764
VotingClassifier,[6 1 3 6 5],0.888252708645554,0.018565635310378,0.251258739724982
VotingClassifier,[6 1 3 1 5],0.888247795002825,0.011876894637026,0.31023667597456
GradientBoostingClassifier,[6 5 1 3 2],0.887515048030858,0.018435268582643,0.315820904203535
GradientBoostingClassifier,[6 5 2 6 5],0.887490303016056,0.013094802073002,0.317785913858626
GradientBoostingClassifier,[6 1 2 6 6],0.887308614646744,0.01411106873416,0.279733840047405
GradientBoostingClassifier,[6 3 3 6 5],0.887277785807198,0.013259356557996,0.337612984981981
GradientBoostingClassifier,[6 1 2 6 2],0.887071688802804,0.013475888114083,0.263528308599939
GradientBoostingClassifier,[6 5 2 6 1],0.88674133467568,0.012568141995505,0.291261275195492
GradientBoostingClassifier,[6 1 3 5 5],0.886511436503452,0.019176970343555,0.27900054129538
GradientBoostingClassifier,[6 1 3 5 5],0.886511436503452,0.019176970343555,0.27900054129538
GradientBoostingClassifier,[6 4 2 3 2],0.886331954206728,0.019546590037524,0.27908797139132
GradientBoostingClassifier,[6 1 3 4 3],0.886308068459658,0.014433713587428,0.264330906880074
VotingClassifier,[6 1 2 3 5],0.886268825393705,0.011046320005168,0.262776388502416
VotingClassifier,[6 1 3 3 3],0.886095771960165,0.008052378723428,0.220577534453009
GradientBoostingClassifier,[6 5 2 3 2],0.886048682372212,0.019826167816506,0.289836969217669
GradientBoostingClassifier,[6 6 3 3 5],0.88604446692682,0.015896197398733,0.338879168726782
GradientBoostingClassifier,[6 1 6 3 5],0.886020686435889,0.01208259676556,0.22185673056458
VotingClassifier,[6 1 3 3 1],0.885846502474805,0.012231499514438,0.246638881097478
VotingClassifier,[6 1 1 3 5],0.885769476451367,0.015464293328917,0.251618913319496
VotingClassifier,[6 1 2 6 1],0.885631110496218,0.011495584125101,0.284647099903066
GradientBoostingClassifier,[6 1 2 3 2],0.885605581728189,0.011985315427024,0.267600707078754
GradientBoostingClassifier,[6 4 1 3 5],0.885501068717293,0.016925674717229,0.265605478285451
GradientBoostingClassifier,[4 1 2 3 5],0.885298155617756,0.017266087052629,0.277931608180966
GradientBoostingClassifier,[6 1 2 4 5],0.885258761206194,0.016596453338892,0.283683124177966
GradientBoostingClassifier,[6 4 2 3 4],0.885120125061708,0.018228100573546,0.288986919452909
GradientBoostingClassifier,[4 1 6 3 4],0.885085574572127,0.017426434896045,0.345762042546174
GradientBoostingClassifier,[4 1 3 3 5],0.885065080192846,0.010297510789504,0.263296595646815
GradientBoostingClassifier,[6 5 3 3 3],0.884816567904803,0.012312283356897,0.327649763963236
VotingClassifier,[6 1 3 4 5],0.884765864923961,0.016744075801772,0.253987195075027
GradientBoostingClassifier,[6 4 2 3 1],0.884596577017115,0.010009530313183,0.272946586021813
GradientBoostingClassifier,[6 6 6 3 2],0.884420766825736,0.016056844613067,0.348799465922746
GradientBoostingClassifier,[6 4 3 3 3],0.884396083593879,0.014625925233063,0.287471551339361
GradientBoostingClassifier,[6 4 2 3 3],0.884391382025906,0.013751898269341,0.28356663611794
GradientBoostingClassifier,[6 1 2 3 3],0.884375335440396,0.011768678051588,0.251802819527613
GradientBoostingClassifier,[6 6 2 3 2],0.884179811467124,0.016981879546944,0.28815525132568
GradientBoostingClassifier,[6 1 2 6 4],0.88416228555617,0.017228349922684,0.225813533251801
VotingClassifier,[6 1 3 6 1],0.88413441469378,0.017270298331121,0.261875718895686
VotingClassifier,[6 1 1 3 4],0.884107579462103,0.018006799647454,0.286633372027082
GradientBoostingClassifier,[6 3 2 1 2],0.883885741546902,0.016515321552577,0.325060712464103
GradientBoostingClassifier,[6 3 2 1 2],0.883885741546902,0.016515321552577,0.325060712464103
GradientBoostingClassifier,[6 4 4 3 5],0.883809076456135,0.01250903153174,0.292123190604984
GradientBoostingClassifier,[6 4 3 3 5],0.883561569590981,0.023643642927286,0.330102886430406
GradientBoostingClassifier,[6 3 2 3 3],0.883445779167352,0.013502868021899,0.361587535412727
GradientBoostingClassifier,[6 4 3 3 4],0.883419332847505,0.011265842986627,0.277129794438558
RandomForestClassifier,[6 1 3 3 3],0.88340390005367,0.012359949088143,0.253544567420042
VotingClassifier,[6 1 2 3 4],0.883374083129584,0.013214248525058,0.320177664347717
ExtraTreesClassifier,[6 1 3 3 3],0.883162979307055,0.008794372922252,0.241571748262375
GradientBoostingClassifier,[6 1 2 6 3],0.883155226906792,0.013180655130809,0.210432891431912
RandomForestClassifier,[6 1 2 3 5],0.8827967226003,0.016675845687489,0.267647571656654
GradientBoostingClassifier,[6 3 2 6 1],0.882663843997853,0.011718618493062,0.30356753239143
ExtraTreesClassifier,[6 1 3 6 1],0.882426501282128,0.01573540000651,0.256695449436444
RandomForestClassifier,[6 1 3 3 1],0.882418152543384,0.009746604033933,0.286972054048914
GradientBoostingClassifier,[6 5 2 3 6],0.882369200751554,0.01985865089572,0.310979229800902
VotingClassifier,[6 3 3 3 5],0.882361974273739,0.012154924480986,0.350047079320741
VotingClassifier,[6 3 3 3 5],0.882361974273739,0.012154924480986,0.350047079320741
VotingClassifier,[6 1 2 3 6],0.881938100065597,0.015867498618127,0.302435648574657
VotingClassifier,[6 1 1 3 1],0.881929751326853,0.020975900514444,0.268423396111143
GradientBoostingClassifier,[6 1 3 4 1],0.881907090464548,0.01636681464174,0.263783775870685
GradientBoostingClassifier,[6 4 1 3 4],0.881662591687041,0.019566013715152,0.277921137934484
ExtraTreesClassifier,[6 1 3 6 5],0.881562169864629,0.014419781727011,0.251078490169579
GradientBoostingClassifier,[6 4 4 1 2],0.881521513558384,0.007785561032481,0.303644940450979
GradientBoostingClassifier,[6 5 2 3 3],0.881392421833598,0.015925249376015,0.272843081845828
GradientBoostingClassifier,[6 1 1 5 1],0.881355769691739,0.013269678755595,0.293707695455448
GradientBoostingClassifier,[6 5 2 3 5],0.88113768849063,0.015111527621488,0.2702190884469
GradientBoostingClassifier,[6 1 2 5 1],0.881110072390814,0.012532156608631,0.283185379953867
GradientBoostingClassifier,[6 4 2 1 2],0.881040167865707,0.013289266209764,0.245374829756595
GradientBoostingClassifier,[6 6 3 1 5],0.880836793356755,0.020093728964781,0.355103472798572
GradientBoostingClassifier,[6 1 6 1 1],0.880826300498063,0.009685819617413,0.322373411184892
ExtraTreesClassifier,[6 1 2 3 1],0.880718587870475,0.010638855023971,0.246109442339173
